"","M_B_RNA1","M_B_RNA2","M_B_RNA4","M_W_RNA6","M_B_RNA8","M_B_RNA9","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17","M_B_RNA19","M_B_RNA20"
"ENSG00000223972.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227232.5",10,44,2,27,36,25,5,12,7,10,21,9
"ENSG00000278267.1",0,11,0,0,1,0,0,1,2,0,2,3
"ENSG00000243485.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009.6",3,0,0,6,11,0,0,0,2,4,1,0
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268903.1",0,0,0,0,1,6,0,17,0,0,0,0
"ENSG00000269981.1",9,5,0,7,8,3,0,24,1,10,1,2
"ENSG00000239906.1",0,0,0,2,0,0,0,1,0,2,0,0
"ENSG00000241860.6",1,10,0,3,4,5,4,0,13,10,5,5
"ENSG00000222623.1",0,0,0,0,0,0,5,2,0,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279928.2",0,0,0,0,0,2,0,0,0,1,0,0
"ENSG00000279457.4",11,27,12,33,45,32,0,50,24,31,27,25
"ENSG00000273874.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228463.10",14,55,90,11,39,18,25,14,16,16,35,24
"ENSG00000236679.2",2,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000236601.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237094.12",15,6,3,19,44,15,3,34,19,59,6,37
"ENSG00000269732.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284733.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250575.1",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000278757.1",0,1,0,3,0,0,12,0,0,6,0,0
"ENSG00000230021.10",3,3,0,5,1,3,0,8,1,9,8,4
"ENSG00000235146.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972.1",3,8,237,0,692,1426,1,2,2,2,7,1
"ENSG00000225630.1",37,68,26,221,175,439,366,386,376,226,401,168
"ENSG00000237973.1",369,194,6448,80,144,265,28,187,95,141,136,96
