"","M_B_RNA1","M_B_RNA2","N_B_RNA3","M_B_RNA4","N_B_RNA5","M_B_RNA8","M_B_RNA9","N_B_RNA10","N_B_RNA11","M_B_RNA19","M_B_RNA20"
"ENSG00000223972.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227232.5",10,44,8,2,15,36,25,17,51,21,9
"ENSG00000278267.1",0,11,2,0,2,1,0,1,4,2,3
"ENSG00000243485.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009.6",3,0,0,0,2,11,0,2,21,1,0
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268903.1",0,0,0,0,0,1,6,2,5,0,0
"ENSG00000269981.1",9,5,0,0,2,8,3,14,11,1,2
"ENSG00000239906.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241860.6",1,10,7,0,5,4,5,4,5,5,5
"ENSG00000222623.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279928.2",0,0,0,0,1,0,2,3,9,0,0
"ENSG00000279457.4",11,27,12,12,29,45,32,29,58,27,25
"ENSG00000273874.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228463.10",14,55,18,90,147,39,18,24,74,35,24
"ENSG00000236679.2",2,0,0,0,0,0,0,0,0,0,0
"ENSG00000236601.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237094.12",15,6,21,3,34,44,15,33,50,6,37
"ENSG00000269732.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284733.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250575.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278757.1",0,1,0,0,0,0,0,7,0,0,0
"ENSG00000230021.10",3,3,0,0,4,1,3,6,5,8,4
"ENSG00000235146.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972.1",3,8,0,237,294,692,1426,427,1049,7,1
"ENSG00000225630.1",37,68,34,26,117,175,439,68,227,401,168
"ENSG00000237973.1",369,194,48,6448,12462,144,265,128,118,136,96
"ENSG00000278791.1",0,0,0,12,12,0,1,0,0,0,0
"ENSG00000229344.1",28,97,23,38,9,1,18,2,12,22,3
"ENSG00000240409.1",0,0,0,0,0,0,0,2,0,0,0
"ENSG00000248527.1",484,1368,307,714,954,1009,3186,892,1657,1925,1038
"ENSG00000198744.5",34,190,29,69,7,1,8,4,3,14,12
"ENSG00000268663.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284662.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229376.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228327.3",33,53,61,4,65,21,54,51,39,84,70
"ENSG00000223181.1",0,0,0,0,1,1,0,3,0,6,9
"ENSG00000229905.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237491.8",8,10,9,0,24,41,43,26,46,97,43
"ENSG00000285268.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230092.7",56,37,69,74,367,274,59,193,323,113,250
"ENSG00000177757.2",0,0,0,0,7,6,4,6,5,1,6
"ENSG00000228794.8",124,113,61,200,860,920,139,386,1569,1301,422
"ENSG00000225880.5",13,13,7,0,29,42,45,37,51,70,32
"ENSG00000230368.2",1,1,0,0,0,0,0,0,2,0,7
"ENSG00000234711.1",0,0,0,0,0,2,0,0,1,2,0
"ENSG00000283040.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272438.1",0,0,0,0,6,0,1,6,3,3,0
"ENSG00000230699.2",0,11,10,0,3,2,18,14,8,14,9
"ENSG00000241180.1",0,0,0,0,1,0,1,1,1,1,2
"ENSG00000223764.2",29,115,23,0,160,32,190,222,48,8,103
"ENSG00000187634.11",10,59,60,73,190,41,172,219,54,5,67
"ENSG00000188976.10",480,633,320,336,1159,982,1226,1163,1534,1082,787
"ENSG00000187961.13",6,52,53,16,53,49,89,42,59,54,25
"ENSG00000187583.10",14,27,8,1,14,10,48,42,28,16,27
