"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000163810","TGM4",8624.19444836122,6.33671393625349,1.40736382389263,4.50254143859315,6.71456574615073e-06,0.0763009678563838
"ENSG00000172828","CES3",50.7105846433588,-3.77557512044728,0.956468904411693,-3.94741021169901,7.90011312010345e-05,0.406291267360232
"ENSG00000158258","CLSTN2",614.853926484141,3.102031706548,0.809992675098578,3.82970340586163,0.000128297797996032,0.406291267360232
"ENSG00000132932","ATP8A2",271.565359330771,-4.58804844247383,1.20603842557059,-3.80423073195463,0.000142245547991715,0.406291267360232
"ENSG00000024526","DEPDC1",193.259265000434,2.75442110859349,0.750979870595039,3.667769558738,0.000244675545892336,0.448095194903195
"ENSG00000123570","RAB9B",89.789043611339,1.65929903229035,0.458162990993835,3.62163480007638,0.000292747196139301,0.448095194903195
"ENSG00000255823","MTRNR2L8",739.279408161883,-1.92863605076954,0.532919958059567,-3.61899760292701,0.00029574637759264,0.448095194903195
"ENSG00000133983","COX16",72.282204539074,1.08924715266602,0.302964261316703,3.59529915486426,0.000324019025431784,0.45787531784723
"ENSG00000279041","CTD-2373N4.3",71.5258828142683,-1.35820327054279,0.382517323024176,-3.55069741627608,0.00038421186425415,0.465144946304373
"ENSG00000184838","PRR16",227.895156048171,-2.07583873399026,0.587985280080856,-3.53042636323278,0.000414890486948425,0.465144946304373
"ENSG00000228253","MT-ATP8",783.944085389873,-2.53026480504741,0.72798390641493,-3.47571530462548,0.000509492837860004,0.519414498574067
"ENSG00000179240","RP11-111M22.2",50.5522949707463,-1.58701589342144,0.462357193412239,-3.43244555515426,0.000598163968968223,0.543778900909632
"ENSG00000198744","MTCO3P12",54.4305781392453,-2.48498153493947,0.737060125075717,-3.37147737395805,0.000747661798701744,0.597401856013209
"ENSG00000206652","RNU1-1",247.571181290949,-5.96361291970498,1.77094170351916,-3.36748121513785,0.0007585819416631,0.597401856013209
"ENSG00000148468","FAM171A1",545.956008404745,-0.661709654041852,0.197643244563928,-3.34800036045665,0.000813969055072946,0.597401856013209
"ENSG00000035720","STAP1",68.8836063901287,3.56991201578399,1.06637905972745,3.3476951588832,0.000814865909992937,0.597401856013209
"ENSG00000277363","SRCIN1",90.3286010086502,-1.4546421164868,0.440509596167678,-3.30218031375894,0.000959363767164166,0.660710919283031
"ENSG00000234715","CTB-107G13.1",83.4005291687235,-3.25549075453951,1.00167765173305,-3.25003832211593,0.00115389457963585,0.700479067713281
"ENSG00000139874","SSTR1",53.412779870024,-2.0876608787796,0.64318859123376,-3.24579898840411,0.00117121505579728,0.700479067713281
"ENSG00000166959","MS4A8",97.63423861368,-2.99909857774463,0.942092770982987,-3.18344293695762,0.00145534795905315,0.787217017862374
"ENSG00000157765","SLC34A2",154.792256566049,-2.29873594294349,0.725139386297418,-3.17006079987036,0.00152407043542678,0.787217017862374
"ENSG00000249267","LINC00939",104.039104330378,-3.28654784653305,1.04941790882628,-3.13178174194578,0.00173748988119996,0.791360254978926
"ENSG00000256045","MTRNR2L10",137.236358112473,-1.84434281287955,0.589907230063109,-3.12649636906847,0.00176902688927305,0.791360254978926
"ENSG00000092051","JPH4",101.341603503252,1.48080399694926,0.475699931830046,3.11289512120071,0.001852618403294,0.791360254978926
"ENSG00000128266","GNAZ",106.647012813247,1.1602446127337,0.373247107587992,3.10851601833292,0.00188029452936428,0.791360254978926
"ENSG00000256222","MTRNR2L3",160.463421495037,-3.20215127840875,1.03945156675489,-3.08061614492121,0.00206572770807195,0.813604872855691
"ENSG00000198888","MT-ND1",7632.77760911789,-1.74071584539564,0.565525387407385,-3.07805075449547,0.0020835942479837,0.813604872855691
"ENSG00000269028","MTRNR2L12",3995.03069314619,-1.71360464184165,0.556877244129719,-3.07716765212709,0.00208977729283704,0.813604872855691
"ENSG00000175505","CLCF1",54.9174291996131,-1.8478721917963,0.604230838438179,-3.05822224594279,0.00222654378581146,0.829551813444869
"ENSG00000165507","C10orf10",311.664304701391,-1.04711280285268,0.347099692103311,-3.01674944309952,0.0025550090478619,0.907307666105583
"ENSG00000178401","DNAJC22",98.6237923074719,-1.72530687874081,0.576607466288171,-2.99216881433609,0.00277003040188057,0.925801190346171
"ENSG00000243679","RP11-274B21.3",54.6859021978881,-1.90923337462856,0.646811509158104,-2.95176159916146,0.00315966775722068,0.998304629206928
"ENSG00000141527","CARD14",107.49996361577,-0.923708989776213,0.313152287348723,-2.94971177632684,0.00318070501704047,0.998304629206928
"ENSG00000130522","JUND",503.071224209038,-0.756760084950464,0.257052578112848,-2.94398947680751,0.00324011016215992,0.998304629206928
"ENSG00000167182","SP2",242.041723188852,-0.831325977880616,0.284313002744539,-2.92398156206587,0.00345585216091024,0.998304629206928
"ENSG00000265107","GJA5",56.7012042355174,-1.6881254053361,0.577375418703434,-2.92379161053823,0.00345796159813935,0.998304629206928
"ENSG00000076351","SLC46A1",550.167711288349,-0.539655803192068,0.185199911364238,-2.91390961916126,0.00356933228010614,0.998304629206928
"ENSG00000122966","CIT",102.407038660882,-0.980784633463325,0.336913844941901,-2.91108438607638,0.00360176727369185,0.998304629206928
"ENSG00000116833","NR5A2",223.187266520399,-2.31768278124501,0.798240507044358,-2.90348931279707,0.00369029565648489,0.998304629206928
"ENSG00000244731","C4A",113.864352132283,-1.72324172399214,0.596154505706062,-2.89059582289193,0.0038451228848259,0.998304629206928
"ENSG00000140832","MARVELD3",449.94816365294,-1.13772027168675,0.395266656969034,-2.87836135840794,0.00399746947699452,0.998304629206928
"ENSG00000159110","IFNAR2",136.343863452711,-0.47933466052492,0.167002866035495,-2.87021816992675,0.00410188673560054,0.998304629206928
"ENSG00000245750","DRAIC",514.387268407506,-1.46933635098475,0.513543444159191,-2.86117244353191,0.00422077405448601,0.998304629206928
"ENSG00000164978","NUDT2",187.872746020044,0.658974081060231,0.230412540315546,2.85997489614835,0.00423674544635275,0.998304629206928
"ENSG00000255545","RP11-627G23.1",232.489161196235,-3.26974807618612,1.14329761806356,-2.85992730547641,0.00423738128227858,0.998304629206928
"ENSG00000154277","UCHL1",66.2220286372326,1.48139749910294,0.518983288179504,2.85442235394401,0.00431151696270119,0.998304629206928
"ENSG00000112419","PHACTR2",2003.30731294127,0.677104008159294,0.237400266540218,2.85216195426885,0.00434229708289637,0.998304629206928
"ENSG00000198763","MT-ND2",5164.21133228889,-1.64101005285061,0.575640006753851,-2.85075747619522,0.00436152222706826,0.998304629206928
"ENSG00000105664","COMP",59.428508291549,-4.18339539855388,1.47323328336564,-2.83960147098821,0.00451699265454518,0.998304629206928
"ENSG00000206585","RNVU1-7",705.675091687742,-2.35606104705158,0.831108564946994,-2.83484149534886,0.00458484271382218,0.998304629206928
"ENSG00000215018","COL28A1",253.095744602509,-2.39972169729397,0.850780561529344,-2.82061180732701,0.00479321669047145,0.998304629206928
"ENSG00000124767","GLO1",3215.20914811351,1.17483095165533,0.416585550104552,2.82014330876449,0.00480022065926859,0.998304629206928
"ENSG00000196972","SMIM10L2B",84.0291272662689,1.71906762344964,0.611130566672075,2.81293019396961,0.00490923072110176,0.998304629206928
"ENSG00000115514","TXNDC9",381.8874606399,0.621011672932648,0.221189065512203,2.80760566303124,0.00499113029436102,0.998304629206928
"ENSG00000196338","NLGN3",128.706206488862,0.904457737362579,0.322445369027866,2.80499527746176,0.00503173169854922,0.998304629206928
"ENSG00000101236","RNF24",873.765302829829,-0.456641365589263,0.162917826450473,-2.80289379951975,0.00506463436102007,0.998304629206928
"ENSG00000152904","GGPS1",327.358454422822,0.711717462992555,0.255422554928065,2.78643153966178,0.00532918735456801,0.998304629206928
"ENSG00000123411","IKZF4",111.810353717778,-0.666335401474318,0.239314182450739,-2.78435400129901,0.00536344611846773,0.998304629206928
"ENSG00000146555","SDK1",1310.44020477836,-2.73655176956752,0.983120246803443,-2.78353719035414,0.00537696976788093,0.998304629206928
"ENSG00000125629","INSIG2",353.901993746391,0.629280729067787,0.228423289739321,2.75488865336774,0.00587121124924493,0.998304629206928
"ENSG00000159251","ACTC1",143.173209322407,2.02113030155236,0.737926693491215,2.73893100680525,0.00616393071319402,0.998304629206928
"ENSG00000198840","MT-ND3",4410.28590239173,-1.68625967416158,0.616022124808095,-2.73733621935558,0.00619389532983604,0.998304629206928
"ENSG00000166352","C11orf74",105.015862638494,0.846901082131864,0.309401667416346,2.73722210097928,0.0061960445312737,0.998304629206928
"ENSG00000280927","CTBP1-AS",416.906440338086,-3.72204186652128,1.36297649146943,-2.730818829097,0.00631771911417563,0.998304629206928
"ENSG00000016391","CHDH",1088.86791692269,-1.29563642707666,0.475546603862493,-2.72452040778594,0.00643949505604524,0.998304629206928
"ENSG00000118513","MYB",151.038188431378,-0.943533315648046,0.348982058876669,-2.70367284405727,0.00685777714397898,0.998304629206928
"ENSG00000198899","MT-ATP6",10965.2995826413,-1.62328212789744,0.600544815105839,-2.70301580675767,0.0068713478605699,0.998304629206928
"ENSG00000198732","SMOC1",352.713720094235,1.48632829890128,0.551503929509633,2.69504570932584,0.00703789756028594,0.998304629206928
"ENSG00000173334","TRIB1",1343.26781232455,-1.13038152710378,0.419636025059277,-2.6937189840746,0.007065971169445,0.998304629206928
