"","M_B_RNA1","M_B_RNA2","M_B_RNA4","N_W_RNA7","M_B_RNA8","M_B_RNA9","N_W_RNA13","N_W_RNA15","N_W_RNA18","M_B_RNA19","M_B_RNA20"
"ENSG00000223972.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227232.5",10,44,2,13,36,25,31,10,8,21,9
"ENSG00000278267.1",0,11,0,1,1,0,11,15,0,2,3
"ENSG00000243485.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009.6",3,0,0,0,11,0,5,0,2,1,0
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268903.1",0,0,0,1,1,6,5,1,3,0,0
"ENSG00000269981.1",9,5,0,0,8,3,26,11,14,1,2
"ENSG00000239906.1",0,0,0,0,0,0,2,0,0,0,0
"ENSG00000241860.6",1,10,0,0,4,5,4,9,16,5,5
"ENSG00000222623.1",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279928.2",0,0,0,0,0,2,0,0,0,0,0
"ENSG00000279457.4",11,27,12,46,45,32,42,81,31,27,25
"ENSG00000273874.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228463.10",14,55,90,17,39,18,24,35,12,35,24
"ENSG00000236679.2",2,0,0,1,0,0,1,0,0,0,0
"ENSG00000236601.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237094.12",15,6,3,25,44,15,63,38,109,6,37
"ENSG00000269732.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284733.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250575.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278757.1",0,1,0,0,0,0,2,0,6,0,0
"ENSG00000230021.10",3,3,0,8,1,3,3,2,7,8,4
"ENSG00000235146.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972.1",3,8,237,1,692,1426,4,12,0,7,1
"ENSG00000225630.1",37,68,26,254,175,439,232,380,330,401,168
"ENSG00000237973.1",369,194,6448,118,144,265,177,133,177,136,96
"ENSG00000278791.1",0,0,12,0,0,1,0,0,0,0,0
"ENSG00000229344.1",28,97,38,15,1,18,11,21,12,22,3
"ENSG00000240409.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248527.1",484,1368,714,1714,1009,3186,2365,3630,2083,1925,1038
"ENSG00000198744.5",34,190,69,19,1,8,17,26,11,14,12
"ENSG00000268663.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284662.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229376.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228327.3",33,53,4,46,21,54,67,72,93,84,70
