"","N_B_RNA3","N_B_RNA5","M_W_RNA6","N_B_RNA10","N_B_RNA11","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17"
"ENSG00000223972.5",0,0,0,0,0,0,0,0,0
"ENSG00000227232.5",8,15,27,17,51,5,12,7,10
"ENSG00000278267.1",2,2,0,1,4,0,1,2,0
"ENSG00000243485.5",0,0,0,0,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0
"ENSG00000240361.2",0,0,0,0,0,0,0,0,0
"ENSG00000186092.6",0,0,0,0,0,0,0,0,0
"ENSG00000238009.6",0,2,6,2,21,0,0,2,4
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",0,0,0,0,0,0,0,0,0
"ENSG00000268903.1",0,0,0,2,5,0,17,0,0
"ENSG00000269981.1",0,2,7,14,11,0,24,1,10
"ENSG00000239906.1",0,0,2,0,0,0,1,0,2
"ENSG00000241860.6",7,5,3,4,5,4,0,13,10
"ENSG00000222623.1",0,0,0,0,0,5,2,0,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0,0
"ENSG00000279928.2",0,1,0,3,9,0,0,0,1
"ENSG00000279457.4",12,29,33,29,58,0,50,24,31
"ENSG00000273874.1",0,0,0,0,0,0,0,0,0
"ENSG00000228463.10",18,147,11,24,74,25,14,16,16
"ENSG00000236679.2",0,0,0,0,0,0,0,0,1
"ENSG00000236601.2",0,0,0,0,0,0,0,0,0
"ENSG00000237094.12",21,34,19,33,50,3,34,19,59
"ENSG00000269732.1",0,0,0,0,0,0,0,0,0
"ENSG00000284733.1",0,0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0
"ENSG00000250575.1",0,0,1,0,0,0,0,0,0
"ENSG00000278757.1",0,0,3,7,0,12,0,0,6
"ENSG00000230021.10",0,4,5,6,5,0,8,1,9
"ENSG00000235146.2",0,0,0,0,0,0,0,0,0
"ENSG00000225972.1",0,294,0,427,1049,1,2,2,2
"ENSG00000225630.1",34,117,221,68,227,366,386,376,226
"ENSG00000237973.1",48,12462,80,128,118,28,187,95,141
"ENSG00000278791.1",0,12,1,0,0,0,0,0,0
"ENSG00000229344.1",23,9,10,2,12,0,10,23,4
"ENSG00000240409.1",0,0,0,2,0,0,0,0,0
"ENSG00000248527.1",307,954,1163,892,1657,3599,2780,1789,1378
"ENSG00000198744.5",29,7,16,4,3,27,19,34,4
"ENSG00000268663.1",0,0,0,0,0,0,0,0,0
"ENSG00000284662.1",0,0,0,0,0,0,0,0,0
"ENSG00000229376.3",0,0,0,0,0,0,0,0,0
"ENSG00000228327.3",61,65,66,51,39,10,104,66,116
"ENSG00000223181.1",0,1,6,3,0,10,5,0,4
