"","M_W_RNA6","N_W_RNA7","M_W_RNA12","N_W_RNA13","M_W_RNA14","N_W_RNA15","M_W_RNA16","M_W_RNA17","N_W_RNA18"
"ENSG00000223972.5",0,0,0,0,0,0,0,0,0
"ENSG00000227232.5",27,13,5,31,12,10,7,10,8
"ENSG00000278267.1",0,1,0,11,1,15,2,0,0
"ENSG00000243485.5",0,0,0,0,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0
"ENSG00000240361.2",0,0,0,0,0,0,0,0,0
"ENSG00000186092.6",0,0,0,0,0,0,0,0,0
"ENSG00000238009.6",6,0,0,5,0,0,2,4,2
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",0,0,0,0,0,0,0,0,0
"ENSG00000268903.1",0,1,0,5,17,1,0,0,3
"ENSG00000269981.1",7,0,0,26,24,11,1,10,14
"ENSG00000239906.1",2,0,0,2,1,0,0,2,0
"ENSG00000241860.6",3,0,4,4,0,9,13,10,16
"ENSG00000222623.1",0,0,5,0,2,1,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0,0
"ENSG00000279928.2",0,0,0,0,0,0,0,1,0
"ENSG00000279457.4",33,46,0,42,50,81,24,31,31
"ENSG00000273874.1",0,0,0,0,0,0,0,0,0
"ENSG00000228463.10",11,17,25,24,14,35,16,16,12
"ENSG00000236679.2",0,1,0,1,0,0,0,1,0
"ENSG00000236601.2",0,0,0,0,0,0,0,0,0
"ENSG00000237094.12",19,25,3,63,34,38,19,59,109
"ENSG00000269732.1",0,0,0,0,0,0,0,0,0
"ENSG00000284733.1",0,0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0
"ENSG00000250575.1",1,0,0,0,0,0,0,0,0
"ENSG00000278757.1",3,0,12,2,0,0,0,6,6
"ENSG00000230021.10",5,8,0,3,8,2,1,9,7
"ENSG00000235146.2",0,0,0,0,0,0,0,0,0
"ENSG00000225972.1",0,1,1,4,2,12,2,2,0
"ENSG00000225630.1",221,254,366,232,386,380,376,226,330
"ENSG00000237973.1",80,118,28,177,187,133,95,141,177
"ENSG00000278791.1",1,0,0,0,0,0,0,0,0
"ENSG00000229344.1",10,15,0,11,10,21,23,4,12
"ENSG00000240409.1",0,0,0,0,0,0,0,0,0
"ENSG00000248527.1",1163,1714,3599,2365,2780,3630,1789,1378,2083
"ENSG00000198744.5",16,19,27,17,19,26,34,4,11
"ENSG00000268663.1",0,0,0,0,0,0,0,0,0
"ENSG00000284662.1",0,0,0,0,0,0,0,0,0
