"","N_B_RNA3","N_B_RNA5","N_W_RNA7","N_B_RNA10","N_B_RNA11","N_W_RNA13","N_W_RNA15","N_W_RNA18"
"ENSG00000223972.5",0,0,0,0,0,0,0,0
"ENSG00000227232.5",8,15,13,17,51,31,10,8
"ENSG00000278267.1",2,2,1,1,4,11,15,0
"ENSG00000243485.5",0,0,0,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0
"ENSG00000240361.2",0,0,0,0,0,0,0,0
"ENSG00000186092.6",0,0,0,0,0,0,0,0
"ENSG00000238009.6",0,2,0,2,21,5,0,2
"ENSG00000239945.1",0,0,0,0,0,0,0,0
"ENSG00000233750.3",0,0,0,0,0,0,0,0
"ENSG00000268903.1",0,0,1,2,5,5,1,3
"ENSG00000269981.1",0,2,0,14,11,26,11,14
"ENSG00000239906.1",0,0,0,0,0,2,0,0
"ENSG00000241860.6",7,5,0,4,5,4,9,16
"ENSG00000222623.1",0,0,0,0,0,0,1,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0
"ENSG00000279928.2",0,1,0,3,9,0,0,0
"ENSG00000279457.4",12,29,46,29,58,42,81,31
"ENSG00000273874.1",0,0,0,0,0,0,0,0
"ENSG00000228463.10",18,147,17,24,74,24,35,12
"ENSG00000236679.2",0,0,1,0,0,1,0,0
"ENSG00000236601.2",0,0,0,0,0,0,0,0
"ENSG00000237094.12",21,34,25,33,50,63,38,109
"ENSG00000269732.1",0,0,0,0,0,0,0,0
"ENSG00000284733.1",0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0
"ENSG00000250575.1",0,0,0,0,0,0,0,0
"ENSG00000278757.1",0,0,0,7,0,2,0,6
"ENSG00000230021.10",0,4,8,6,5,3,2,7
"ENSG00000235146.2",0,0,0,0,0,0,0,0
"ENSG00000225972.1",0,294,1,427,1049,4,12,0
"ENSG00000225630.1",34,117,254,68,227,232,380,330
"ENSG00000237973.1",48,12462,118,128,118,177,133,177
"ENSG00000278791.1",0,12,0,0,0,0,0,0
"ENSG00000229344.1",23,9,15,2,12,11,21,12
"ENSG00000240409.1",0,0,0,2,0,0,0,0
"ENSG00000248527.1",307,954,1714,892,1657,2365,3630,2083
"ENSG00000198744.5",29,7,19,4,3,17,26,11
"ENSG00000268663.1",0,0,0,0,0,0,0,0
"ENSG00000284662.1",0,0,0,0,0,0,0,0
"ENSG00000229376.3",0,0,0,0,0,0,0,0
"ENSG00000228327.3",61,65,46,51,39,67,72,93
"ENSG00000223181.1",0,1,5,3,0,2,1,4
"ENSG00000229905.1",0,0,0,0,0,0,0,0
"ENSG00000237491.8",9,24,21,26,46,30,19,19
"ENSG00000285268.1",0,0,0,0,0,0,0,0
"ENSG00000230092.7",69,367,291,193,323,168,213,147
"ENSG00000177757.2",0,7,2,6,5,1,5,0
"ENSG00000228794.8",61,860,725,386,1569,459,1232,428
"ENSG00000225880.5",7,29,27,37,51,36,42,23
"ENSG00000230368.2",0,0,0,0,2,2,1,0
"ENSG00000234711.1",0,0,0,0,1,0,0,0
"ENSG00000283040.1",0,0,0,0,0,0,0,0
"ENSG00000272438.1",0,6,0,6,3,2,1,2
"ENSG00000230699.2",10,3,4,14,8,9,7,9
"ENSG00000241180.1",0,1,1,1,1,1,0,0
"ENSG00000223764.2",23,160,85,222,48,45,185,97
"ENSG00000187634.11",60,190,63,219,54,47,83,44
"ENSG00000188976.10",320,1159,1635,1163,1534,1216,1485,1300
"ENSG00000187961.13",53,53,40,42,59,71,82,61
"ENSG00000187583.10",8,14,30,42,28,35,38,42
"ENSG00000187642.9",14,9,1,20,54,63,44,11
"ENSG00000272512.1",0,21,10,16,11,26,15,4
"ENSG00000188290.10",3,91,69,46,92,60,62,58
"ENSG00000187608.9",284,280,52,138,124,58,134,101
"ENSG00000231702.2",1,0,0,0,0,1,0,0
"ENSG00000224969.1",0,0,0,0,0,0,1,0
"ENSG00000188157.14",925,1993,1087,911,898,1578,1224,1096
"ENSG00000242590.1",0,0,0,0,0,0,0,0
"ENSG00000217801.9",1,0,1,1,3,2,8,5
"ENSG00000273443.1",0,0,0,0,0,0,0,0
"ENSG00000237330.2",1,17,11,8,17,17,15,6
"ENSG00000131591.17",53,84,45,74,76,109,100,85
"ENSG00000285812.1",0,0,0,0,3,0,0,0
"ENSG00000223823.1",0,0,0,0,0,2,1,0
"ENSG00000207730.3",0,0,0,0,0,0,0,1
"ENSG00000207607.3",0,2,1,4,2,5,4,1
"ENSG00000198976.1",6,0,0,2,3,12,4,1
"ENSG00000272141.1",18,11,5,33,17,48,48,32
"ENSG00000205231.1",0,0,0,0,0,0,0,0
"ENSG00000162571.13",0,6,3,3,12,14,6,5
"ENSG00000186891.13",0,4,9,3,0,1,3,6
"ENSG00000186827.10",0,15,3,0,1,0,2,2
"ENSG00000078808.16",594,2555,2776,1719,2726,2249,2896,1794
"ENSG00000176022.5",111,202,327,184,357,209,261,225
"ENSG00000184163.3",0,3,0,0,0,4,3,0
"ENSG00000260179.1",0,4,0,2,3,10,1,6
"ENSG00000160087.20",122,345,598,377,541,426,596,559
"ENSG00000230415.1",3,3,3,10,28,12,13,13
"ENSG00000162572.20",9,24,17,30,40,66,38,37
"ENSG00000131584.18",139,261,197,303,215,320,316,285
"ENSG00000278073.1",0,0,0,0,0,0,0,0
"ENSG00000169972.11",41,153,120,164,104,127,131,112
"ENSG00000127054.20",512,1036,1205,903,1360,1264,1315,1168
"ENSG00000283712.1",0,0,0,0,0,0,0,0
"ENSG00000240731.1",12,32,21,30,24,57,40,48
"ENSG00000224051.6",58,238,220,162,211,226,208,144
"ENSG00000169962.4",0,8,7,6,13,6,8,1
"ENSG00000107404.19",232,580,520,377,526,533,553,329
"ENSG00000284372.1",0,0,0,0,0,0,0,0
"ENSG00000162576.16",129,213,172,81,58,152,60,91
"ENSG00000175756.13",91,448,660,391,511,413,539,444
"ENSG00000223663.2",0,0,0,0,0,0,0,0
"ENSG00000221978.11",857,1958,2070,2398,2206,3193,2555,2901
"ENSG00000224870.6",78,361,568,440,425,314,539,436
"ENSG00000242485.5",290,978,1580,1063,1267,718,1487,1031
"ENSG00000264293.2",0,0,0,0,0,0,0,0
"ENSG00000272455.1",20,35,34,28,32,37,47,45
"ENSG00000235098.8",45,147,186,137,76,121,140,112
"ENSG00000225905.1",7,0,8,9,9,7,8,3
"ENSG00000205116.3",0,0,0,0,0,0,0,0
"ENSG00000225285.1",6,26,16,14,17,24,24,26
"ENSG00000179403.11",811,3133,1562,1344,1322,1553,2103,1663
"ENSG00000215915.9",42,35,53,72,22,58,25,65
"ENSG00000160072.19",174,238,233,364,382,361,156,364
"ENSG00000284740.1",2,3,5,6,6,5,9,6
"ENSG00000197785.13",79,249,183,165,123,188,199,198
"ENSG00000205090.8",5,10,7,2,2,6,8,5
"ENSG00000160075.11",483,1630,2363,1530,1909,1330,2087,1660
"ENSG00000215014.5",0,11,30,12,27,9,16,17
"ENSG00000274481.1",0,0,0,0,0,0,0,0
"ENSG00000228594.3",12,22,25,8,21,8,10,16
"ENSG00000272106.1",19,167,172,119,202,154,157,186
"ENSG00000197530.12",98,192,159,214,222,332,197,210
"ENSG00000189409.13",1,0,0,1,0,1,0,1
"ENSG00000248333.8",76,275,310,312,348,385,440,378
"ENSG00000272004.1",0,3,3,2,11,8,6,9
"ENSG00000189339.11",325,915,998,872,1326,1378,1105,1358
"ENSG00000269737.2",0,3,1,0,0,3,2,0
"ENSG00000215914.4",0,0,0,1,0,0,0,0
"ENSG00000008128.22",7,59,31,64,33,49,39,26
"ENSG00000268575.1",36,88,110,158,134,137,103,143
"ENSG00000227775.3",1,2,0,1,1,4,3,2
"ENSG00000215790.7",215,452,900,446,567,627,1009,360
"ENSG00000008130.15",287,770,1080,937,1102,897,1232,877
"ENSG00000078369.17",1630,7947,9352,6733,9419,6257,9454,5934
"ENSG00000231050.1",0,6,5,6,17,13,11,4
"ENSG00000169885.9",12,0,4,4,0,10,4,1
"ENSG00000178821.12",4,3,5,5,12,12,10,12
"ENSG00000142609.18",0,20,6,15,12,11,26,12
"ENSG00000233542.1",0,0,0,0,0,0,0,0
"ENSG00000187730.8",14,6,4,0,5,0,4,5
"ENSG00000226969.1",0,1,0,0,0,0,1,0
"ENSG00000067606.16",209,748,801,686,747,764,952,755
"ENSG00000271806.1",0,0,0,1,0,2,0,0
"ENSG00000182873.5",0,11,8,2,2,17,17,9
"ENSG00000162585.16",110,150,127,189,182,192,205,160
"ENSG00000234396.3",0,1,2,1,0,2,2,1
"ENSG00000157933.9",400,1188,962,818,1054,1417,1445,881
"ENSG00000116151.13",116,208,179,184,213,281,313,251
"ENSG00000272161.1",1,3,0,0,0,5,0,0
"ENSG00000269896.2",9,35,43,47,44,65,62,91
"ENSG00000272420.1",0,3,5,8,14,3,6,9
"ENSG00000157916.19",605,2606,2842,2017,3038,1929,3111,2204
"ENSG00000157911.10",159,692,582,542,915,485,743,387
"ENSG00000149527.17",206,750,311,779,400,886,578,545
"ENSG00000224387.1",0,0,0,1,0,1,0,0
"ENSG00000229393.1",0,0,0,0,0,0,0,0
"ENSG00000157881.13",80,378,381,311,353,297,389,275
"ENSG00000197921.5",0,0,0,9,0,1,0,0
"ENSG00000272449.2",0,15,0,3,9,12,9,3
"ENSG00000238164.6",62,74,93,97,123,160,105,90
"ENSG00000157873.17",392,833,702,721,829,1003,1023,678
"ENSG00000225931.3",3,2,0,2,4,4,6,9
"ENSG00000228037.1",20,5,2,1,0,2,4,1
"ENSG00000157870.15",114,487,311,361,321,354,453,314
"ENSG00000142606.15",22,72,58,59,35,61,44,36
"ENSG00000237058.1",0,0,0,0,0,0,0,0
"ENSG00000215912.12",37,32,14,19,27,34,37,37
"ENSG00000285945.1",0,0,0,0,0,0,0,0
"ENSG00000283259.1",0,2,0,0,0,0,2,0
"ENSG00000233234.1",0,0,0,0,0,0,0,0
"ENSG00000231630.1",0,0,0,0,0,0,0,0
"ENSG00000284745.1",0,0,0,0,0,0,0,0
"ENSG00000169717.6",0,0,0,0,0,0,0,0
"ENSG00000177133.10",0,1,0,4,0,0,5,3
